Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posición,Selección,Partidos Internacionales,Goles,Valor Mercado,Última Revisión,Pie,Agente,Proveedor
Dani Queipo,Real Sporting,2ª División,01/07/2022,30/06/2027,22/05/2002 (22),Oviedo,España,"1,68 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",14/10/2024,Derecho,Eugenio Botas ...,Proveedor no encontrado
Juan Otero,Real Sporting,2ª División,12/07/2024,30/06/2027,26/05/1995 (29),Sipí,Colombia,"1,82 m",Extremo derecho,Selección no encontrada,0,0,"2,50 mill. €",24/06/2024,Derecho,Alinea,Proveedor no encontrado
Jordy Caicedo,Real Sporting,2ª División,15/07/2024,30/06/2025,18/11/1997 (26),Machala,Ecuador,"1,87 m",Delantero centro,Ecuador,17,3,"2,50 mill. €",14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Víctor Campuzano,Real Sporting,2ª División,01/02/2021,30/06/2025,31/05/1997 (27),Barcelona,España,"1,74 m",Delantero centro,Selección no encontrada,1,0,"1,00 mill. €",24/06/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Helton Leite,RC Deportivo,2ª División,12/08/2024,30/06/2026,02/11/1990 (33),Belo Horizonte,Brasil,"1,96 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",31/05/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Germán Parreño,RC Deportivo,2ª División,01/07/2023,30/06/2026,16/02/1993 (31),Elche,España,"1,91 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Derecho,José Vicente ...,Proveedor no encontrado
Eric Puerto,RC Deportivo,2ª División,09/01/2024,30/06/2027,28/10/2002 (21),Estepa,España,"1,85 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Pablo Vázquez,RC Deportivo,2ª División,15/07/2023,30/06/2026,07/10/1994 (30),Gandía,España,"1,89 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Dani Barcia,RC Deportivo,2ª División,01/07/2023,30/06/2026,19/01/2003 (21),O Temple,España,"1,86 m",Defensa central,Selección no encontrada,6,0,300 mil €,14/10/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Pablo Martínez,Levante UD,2ª División,17/07/2020,30/06/2026,22/02/1998 (26),Madrid,España,"1,82 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,50 mill. €",24/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Jaime Sánchez,RC Deportivo,2ª División,19/07/2021,30/06/2025,11/03/1995 (29),Chiclana de la ...,España,"1,85 m",Defensa central,Selección no encontrada,1,0,200 mil €,14/10/2024,Derecho,Wasserman,Proveedor no encontrado
Sergio Escudero,RC Deportivo,2ª División,18/07/2024,30/06/2026,02/09/1989 (35),Valladolid,España,"1,76 m",Lateral izquierdo,Selección no encontrada,0,0,400 mil €,14/10/2024,Izquierdo,Bahía Internacional,Nike
Rafa Obrador,RC Deportivo,2ª División,21/08/2024,30/06/2025,24/02/2004 (20),Campos,España,"1,81 m",Lateral izquierdo,Selección no encontrada,7,0,300 mil €,24/06/2024,Izquierdo,MagicPlayers,Proveedor no encontrado
Álex Petxarroman,RC Deportivo,2ª División,15/07/2024,30/06/2028,06/02/1997 (27),Donostia-San ...,España,"1,80 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Ximo Navarro,RC Deportivo,2ª División,01/08/2023,30/06/2025,23/01/1990 (34),Guadahortuna,España,"1,76 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Derecho,CAA Stellar,Proveedor no encontrado
