Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Aleksa Puric,Racing Ferrol,2ª División,04/07/2024,30/06/2027,07/07/2003 (21),Šabac,Serbia,"1,96 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,IGdreamsfootball,Proveedor no encontrado
David Castro,Racing Ferrol,2ª División,01/07/2021,30/06/2025,09/10/1995 (29),Cuntis,España,"1,92 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Izquierdo,Balance ...,Proveedor no encontrado
Naldo,Racing Ferrol,2ª División,26/07/2024,30/06/2025,25/08/1988 (36),Santo André,Brasil,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,14/10/2024,Derecho,ACE,Proveedor no encontrado
Brais Martínez,Racing Ferrol,2ª División,06/07/2022,30/06/2025,13/12/2001 (22),Vigo,España,"1,75 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Izquierdo,F.J.VILLAVERDE,Proveedor no encontrado
Moi Delgado,Racing Ferrol,2ª División,27/07/2023,30/06/2025,18/04/1994 (30),Sevilla,España,"1,72 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Izquierdo,ELITE INTERNACIONAL ...,Proveedor no encontrado
Julián Delmás,Racing Ferrol,2ª División,19/07/2023,30/06/2025,20/04/1995 (29),Zaragoza,España,"1,74 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Aitor Buñuel,Racing Ferrol,2ª División,05/07/2024,30/06/2025,10/02/1998 (26),Tafalla,España,"1,72 m",Lateral derecho,Selección no encontrada,4,1,600 mil €,24/06/2024,Derecho,Footfeel ISM,Proveedor no encontrado
Rober Correa,Racing Ferrol,2ª División,03/09/2024,30/06/2025,20/09/1992 (32),Badajoz,España,"1,80 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,JV SPORTS,Proveedor no encontrado
Álvaro Sanz,Racing Ferrol,2ª División,03/07/2024,30/06/2025,14/02/2001 (23),Caspe,España,"1,70 m",Pivote,Selección no encontrada,9,0,800 mil €,24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Luis Perea,Racing Ferrol,2ª División,02/08/2024,30/06/2025,25/08/1997 (27),Alcalá de Henares,España,"1,91 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Fran Manzanara,Racing Ferrol,2ª División,01/07/2021,30/06/2025,12/09/1996 (28),La Solana,España,"1,82 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Aitor Gelardo,Racing Ferrol,2ª División,01/08/2024,30/06/2025,26/06/2002 (22),Catral,España,"1,80 m",Mediocentro,Selección no encontrada,0,0,300 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Álex López,Racing Ferrol,2ª División,12/07/2019,30/06/2025,11/01/1988 (36),Ferrol,España,"1,78 m",Mediocentro,Selección no encontrada,1,0,100 mil €,24/06/2024,Derecho,Intermedia Sport ...,Proveedor no encontrado
Josep Señé,Racing Ferrol,2ª División,04/07/2023,30/06/2025,10/12/1991 (32),Sant Cugat del ...,España,"1,84 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,Intermedia Sport ...,Nike
Bebé,Racing Ferrol,2ª División,03/09/2024,30/06/2025,12/07/1990 (34),Lisboa,Cabo Verde,"1,90 m",Extremo izquierdo,Cabo Verde,23,6,600 mil €,07/06/2024,Derecho,JV SPORTS,Proveedor no encontrado
Josué Dorrio,Racing Ferrol,2ª División,12/07/2024,30/06/2025,03/03/1994 (30),Bilbao,España,"1,70 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Nacho Sánchez,Racing Ferrol,2ª División,03/07/2023,30/06/2025,11/02/1993 (31),Las Palmas de Gran ...,España,"1,77 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Manu Vallejo,Racing Ferrol,2ª División,20/08/2024,30/06/2025,14/02/1997 (27),Chiclana de la ...,España,"1,67 m",Mediapunta,Selección no encontrada,3,0,700 mil €,14/10/2024,Derecho,YOU FIRST,Proveedor no encontrado
Eneko Jauregi,Racing Ferrol,2ª División,18/07/2024,30/06/2025,13/07/1996 (28),Muxika,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,14/10/2024,Derecho,EGGO Asesores ...,Proveedor no encontrado
Christian Borrego,Racing Ferrol,2ª División,03/07/2024,30/06/2025,05/10/1996 (28),Madrid,España,"1,70 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Álvaro Giménez,Racing Ferrol,2ª División,25/07/2023,30/06/2025,19/05/1991 (33),Elche,España,"1,83 m",Delantero centro,Selección no encontrada,1,0,500 mil €,24/06/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Juan Pérez,SD Huesca,2ª División,20/01/2023,30/06/2026,15/07/1996 (28),Almudévar,España,"1,91 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,Bahía Internacional,Proveedor no encontrado
Dani Jiménez,SD Huesca,2ª División,01/07/2024,30/06/2027,05/03/1990 (34),Lebrija,España,"1,79 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Derecho,Identity Sports,Proveedor no encontrado
Jorge Pulido,SD Huesca,2ª División,07/07/2017,30/06/2026,08/04/1991 (33),Talavera de la Reina,España,"1,86 m",Defensa central,Selección no encontrada,4,0,800 mil €,24/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Jérémy Blasco,SD Huesca,2ª División,08/07/2022,30/06/2025,12/02/1999 (25),Bayonne,Francia,"1,85 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,14/10/2024,Pie no encontrado,NexSt11,Proveedor no encontrado
